IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.84.124,2095,2095,false,SIN,Asia Pacific,Singapore,9,0.02
8.219.97.248,80,80,false,SIN,Asia Pacific,Singapore,24,0.02
149.129.8.215,80,80,false,SJC,North America,San Jose,115,0.02
47.236.10.182,8080,8080,false,SIN,Asia Pacific,Singapore,30,0.02
47.237.95.192,80,80,false,SIN,Asia Pacific,Singapore,20,0.02
47.76.146.1,80,80,false,HKG,Asia Pacific,Hong Kong,43,0.02
8.210.92.27,443,443,true,HKG,Asia Pacific,Hong Kong,87,0.01
47.76.94.15,2087,2087,true,HKG,Asia Pacific,Hong Kong,57,0.01
8.210.92.27,443,443,true,HKG,Asia Pacific,Hong Kong,49,0.01
8.222.165.117,2052,2052,false,SIN,Asia Pacific,Singapore,43,0.01
8.210.65.1,2096,2096,true,HKG,Asia Pacific,Hong Kong,47,0.01
