IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.239.116,2086,2086,false,HKG,Asia Pacific,Hong Kong,39,1.53
8.218.53.110,2053,2053,true,HKG,Asia Pacific,Hong Kong,37,1.52
8.218.142.253,2083,2083,true,HKG,Asia Pacific,Hong Kong,70,1.52
47.245.114.163,2052,2052,false,SIN,Asia Pacific,Singapore,25,1.51
8.218.2.181,80,80,false,HKG,Asia Pacific,Hong Kong,36,1.50
47.76.159.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,33,1.50
8.218.53.110,8880,8880,false,HKG,Asia Pacific,Hong Kong,35,1.50
47.243.74.220,2087,2087,true,HKG,Asia Pacific,Hong Kong,85,1.49
8.210.156.6,2095,2095,false,HKG,Asia Pacific,Hong Kong,47,1.49
47.243.203.119,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,1.48
8.218.74.119,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,1.47
47.237.92.26,80,80,false,SIN,Asia Pacific,Singapore,26,1.47
8.218.11.90,8880,8880,false,HKG,Asia Pacific,Hong Kong,37,1.47
47.243.60.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,77,1.46
8.212.41.98,80,80,false,SIN,Asia Pacific,Singapore,38,1.46
8.218.48.92,80,80,false,HKG,Asia Pacific,Hong Kong,43,1.46
47.242.234.127,443,443,true,HKG,Asia Pacific,Hong Kong,46,1.45
47.242.252.237,2082,2082,false,HKG,Asia Pacific,Hong Kong,46,1.44
8.210.65.1,8880,8880,false,HKG,Asia Pacific,Hong Kong,57,1.44
8.218.126.53,2087,2087,true,HKG,Asia Pacific,Hong Kong,64,1.44
47.243.206.150,2095,2095,false,HKG,Asia Pacific,Hong Kong,50,1.43
47.76.37.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,46,1.42
47.76.178.146,8443,8443,true,HKG,Asia Pacific,Hong Kong,65,1.42
8.218.222.36,2086,2086,false,HKG,Asia Pacific,Hong Kong,50,1.41
47.242.234.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,45,1.41
